feature,permutation_importance,mutual_information
contains_account,0.0,0.11268355685966758
contains_amazon,0.0,0.019974643457477015
contains_apple,0.0,0.0
contains_bank,0.0,0.0768146784225121
contains_google,0.0,0.0
contains_login,0.0,0.2897015683183304
contains_microsoft,0.0,0.05987873737942806
contains_paypal,0.0,0.06926835569761791
contains_secure,0.0,0.17864915347127241
contains_update,0.0,0.28318449907804677
contains_verify,0.0,0.149950173879436
domain_length,0.0,0.5082013119139199
entropy_score,0.0,0.2646209198001819
has_at_symbol,0.0,0.0
has_double_slash_redirect,0.0,0.0
has_https,0.0,0.7021554586740063
has_ip_address,0.0,0.0
has_suspicious_tld,0.0,0.024788034431582284
has_url_shortener,0.0,0.09460868996652327
num_digits,0.0,0.0
num_dots,0.0,0.07840198000981347
num_hyphens,0.0,0.2520179492167822
num_slashes,0.0,0.16492324644179424
num_special_chars,0.0,0.22231964468640686
path_depth,0.0,0.0
path_length,0.0,0.017821092643211855
query_length,0.0,0.0
subdomain_count,-0.02424242424242425,0.4482078579679374
url_length,0.0,0.38827932255522324
